,smiles
387,C(C(C(=O)CO)O)C(=O)C(=O)[O-]
388,C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)O)O)O)O
389,CCC=CCCO
390,CN1CC(C2=CC(=O)C(=O)C=C21)O
391,CCCCC(=O)CC(=O)C
392,CC(C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O)O
393,C1CCC(C(C1)O)O
394,CCC(CC)O
395,C1=CC=C2C(C(C=CC2=C1)O)O
396,CC(=O)C1CCCCC1O
397,CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C)O
398,CCOC(=O)C(C(=O)C)Cl
399,CC=CC=O
400,C(C=O)O
401,CC1=C(C(CC=C1)(C)C)C=CC(=CC=CC(=CC=O)C)C
402,CCCC(=O)CCC
403,CCC1CCC(=O)CC1
404,CC(C)CCCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4(C)C(=O)O)O)C)C
405,CCC(=O)CC(=O)OCC
406,C1=C(C=C(C=C1Cl)Cl)C=O
407,CC12CCCC1C3C(CC2)C4(CCCCC4CC3O)C
408,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
409,COC1=C(C=C(C=C1)C=O)O
410,CCOC(=O)C(C)C(=O)C
411,CC(=C)CCO
412,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O)N=C(NC2=O)N
413,C1=CC(=CC=C1CO)Br
414,C1=CC=C(C=C1)C(CF)O
415,CC(C)C(C)O
416,C1(C(C(OC(=O)C1O)C(=O)O)O)O
417,CCCCCCCCCCCCCCCCC(=O)C(CO)N
418,COC1=CC2=C(C=C1)C=C(C=C2)CO
419,CC(=O)C1=NC=C2C(=C1)C=CO2
420,CCCCCCC(CC)O
421,C1(C(C(C(=O)C(C1O)O)O)O)O
422,C1=C(OC(=C1)C=O)CO
423,CCOC(=O)CC(CCl)O
424,CC1=CC(=C(C=C1)C=CCO)C
425,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4=O)C
426,CCC(=O)C(=O)C
427,CC(C(=O)C1=NC2=C(NC1)NC(=O)NC2=O)O
428,CCCC(=O)C(=O)O
429,CCOC(=O)C(C)O
430,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O
431,CC(C1=CC=CN1)O
432,CCOC(=O)C(CC1=CC=CC=C1)O
433,CCCCCC(=O)C=CCO
434,CN1C2CCC1CC(=O)C2
435,C1=CC=C(C=C1)C=O
436,CC(=O)O
437,CC(CC1=CC=C(C=C1)OC)O
438,CCCCCCCCCCCCCCCCC=O
439,C1=CC(=CC(=C1)Cl)C(CBr)O
440,CC(=O)C1CCCC1=O
441,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O
442,C(C(=O)CO)O
443,C1CCC(=O)C1
444,CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O
445,C1CC(CCC1O)O
446,C1COC2=CC=CC=C2C1O
447,CCC(CC)C1C(C(=O)C(=O)O1)(C)C
448,COC1=C(C=CC(=C1)C=CC=O)O
449,C1=C(C=C(C=C1Cl)Cl)CO
